aliases	description	*biosample	crosslinking_method	crosslinking_temperature	crosslinking_time	digestion_enzyme	experiment_sets|0	experiment_sets|1	ligation_volume	protocol	protocol_variation	tagging_method
erezlab:hic001		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dCTP
erezlab:hic002		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dCTP
erezlab:hic003		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic004		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic005		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic006		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic007		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic008		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic009		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic010		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic011		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic012		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic013		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic014		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic015		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic016		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic017		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic018		dcic:encodegm12878b2_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic019		dcic:encodegm12878b2_p2	1% Formaldehyde	25	10	MboI			5	dcic:Pro_insituhic	['dcic:Pro_tetheredhic']	bio-dATP
erezlab:hic020		dcic:encodegm12878b2_p3	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dCTP
erezlab:hic021		dcic:encodegm12878b2_p4	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic022		dcic:encodegm12878b2_p5	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic023		dcic:encodegm12878b2_p5	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic024		dcic:encodegm12878b2_p6	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic025		dcic:encodegm12878b2_p7	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic026		dcic:encodegm12878b2_p7	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic027		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic028		dcic:encodegm12878b2_p9	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic029		dcic:encodegm12878b2_p9	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic030		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_insituhicagar']	bio-dATP
erezlab:hic031		dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_insituhicagar']	bio-dATP
erezlab:hic032	Pellet Hi-C	dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_pelletsnhic']	bio-dATP
erezlab:hic033	Supernatant Hi-C	dcic:encodegm12878b2_p8	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_pelletsnhic']	bio-dATP
erezlab:hic034		dcic:encodegm12878b1_p10	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic035		dcic:encodegm12878b2_p11	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic036		dcic:encodegm12878b2_p12	1% Formaldehyde	25	10	NcoI			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic037		dcic:encodegm12878b2_p12	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic038		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic039		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic040		dcic:encodegm12878b2_p32	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic041		dcic:encodegm12878b2_p32	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic042		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic043		dcic:encodegm12878b2_p34	none			MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic044		dcic:encodegm12878b2_p35	none			MboI			1.2	dcic:Pro_insituhic	"dcic:Pro_insituhicwoutcl,dcic:Pro_insituhicagar"	bio-dATP
erezlab:hic045		dcic:encodegm12878b2_p35	none			MboI			1.2	dcic:Pro_insituhic	"dcic:Pro_insituhicwoutcl,dcic:Pro_insituhicagar"	bio-dATP
erezlab:hic046		dcic:encodegm12878b2_p35	none			MboI			1.2	dcic:Pro_insituhic	"dcic:Pro_insituhicwoutcl,dcic:Pro_insituhicagar"	bio-dATP
erezlab:hic047		dcic:encodegm12878b2_p35	none			MboI			1.2	dcic:Pro_insituhic	"dcic:Pro_insituhicwoutcl,dcic:Pro_insituhicagar"	bio-dATP
erezlab:hic048		dcic:encodegm12878b1_p13	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic049		dcic:encodegm12878b2_p14	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic050		dcic:IMR90human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic051		dcic:IMR90human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic052		dcic:IMR90human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic053		dcic:IMR90human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic054		dcic:IMR90human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic055		dcic:IMR90human_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic056		dcic:IMR90human_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic057		dcic:IMR90human_p1	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic058		dcic:CC2551_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic059		dcic:CC2551_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic060		dcic:CC2551_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic061		dcic:CC2551_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic062		dcic:CC2551_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic063		dcic:CC2551_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic064		dcic:CC2551_p3	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic065		dcic:192627_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic066		dcic:192627_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic067		dcic:192627_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic068		dcic:192627_p2	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic069		dcic:K562human_p1	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic070		dcic:K562human_p1	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic071		dcic:K562human_p2	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic072		dcic:K562human_p2	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic073		dcic:K562human_p2	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic074		dcic:K562human_p2	1.3% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic075		dcic:KBM7_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic076		dcic:KBM7_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic077		dcic:KBM7_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic078		dcic:KBM7_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic079		dcic:KBM7_p2	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic080		dcic:CC2517_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic081		dcic:CC2517_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic082		dcic:CC2517_p1				MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_insituhicwoutcl']	bio-dATP
erezlab:hic083		dcic:CC2517_p1	1% Formaldehyde	25	10	HindIII			8	dcic:Pro_dilutionhic		bio-dCTP
erezlab:hic084		dcic:HeLaS3human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic085		dcic:HeLaS3human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic086		dcic:HeLaS3human_p1	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic087		dcic:HeLaS3human_p1	1% Formaldehyde	25	10	MboI			0.6	dcic:Pro_insituhic		bio-dATP
